Bluefruit Item, 300169, CD:2C:DF:8F:F4:41, -58, 4, 39
Bluefruit Item, 300177, C6:51:BC:E4:0A:4F, -46, 4, 39
Bluefruit Item, 300178, D1:83:FE:03:9C:47, -51, 4, 39
Bluefruit Item, 300182, EA:93:A1:6D:AE:49, -54, 4, 39
Bluefruit Item, 300186, EF:F3:F2:34:B9:4F, -67, 4, 39
Bluefruit Item, 300193, EA:D2:1B:15:A3:45, -51, 4, 39
Bluefruit Item, 300195, CD:2C:DF:8F:F4:41, -58, 4, 39
Bluefruit Item, 300199, D1:83:FE:03:9C:47, -51, 4, 39
Bluefruit Item, 300200, C6:51:BC:E4:0A:4F, -46, 4, 39
Bluefruit Item, 300203, EA:93:A1:6D:AE:49, -60, 4, 39
Bluefruit Item, 300206, EF:F3:F2:34:B9:4F, -58, 4, 39
Bluefruit Item, 300267, D1:83:FE:03:9C:47, -50, 4, 37
Bluefruit Item, 300269, EF:F3:F2:34:B9:4F, -54, 4, 37
Bluefruit Item, 300279, E9:70:AB:45:DF:44, -59, 4, 37
Bluefruit Item, 300281, EA:93:A1:6D:AE:49, -62, 4, 37
Bluefruit Item, 300286, CD:2C:DF:8F:F4:41, -62, 4, 37
Bluefruit Item, 300288, D1:83:FE:03:9C:47, -50, 4, 37
Bluefruit Item, 300294, C6:51:BC:E4:0A:4F, -45, 4, 37
Bluefruit Item, 300296, EF:F3:F2:34:B9:4F, -54, 4, 37
Bluefruit Item, 300303, E0:C4:A3:54:D2:4B, -47, 4, 37
Bluefruit Item, 300306, EA:93:A1:6D:AE:49, -62, 4, 37
Bluefruit Item, 300309, D1:83:FE:03:9C:47, -50, 4, 37
Bluefruit Item, 300312, CD:2C:DF:8F:F4:41, -62, 4, 37
Bluefruit Item, 300367, EA:D2:1B:15:A3:45, -47, 4, 38
Bluefruit Item, 300378, EA:93:A1:6D:AE:49, -52, 4, 38
Bluefruit Item, 300379, CD:2C:DF:8F:F4:41, -58, 4, 38
Bluefruit Item, 300386, D1:83:FE:03:9C:47, -50, 4, 38
Bluefruit Item, 300388, EA:D2:1B:15:A3:45, -48, 4, 38
Bluefruit Item, 300396, FF:1B:2F:FB:89:4D, -47, 4, 38
Bluefruit Item, 300408, EF:F3:F2:34:B9:4F, -48, 4, 38
Bluefruit Item, 300409, CD:2C:DF:8F:F4:41, -60, 4, 38
Bluefruit Item, 300411, EA:D2:1B:15:A3:45, -46, 4, 38
Bluefruit Item, 300412, C6:51:BC:E4:0A:4F, -43, 4, 38
Bluefruit Item, 300416, D1:83:FE:03:9C:47, -50, 4, 38
Bluefruit Item, 300472, EA:93:A1:6D:AE:49, -57, 4, 39
Bluefruit Item, 300484, EF:F3:F2:34:B9:4F, -59, 4, 39
Bluefruit Item, 300489, D1:83:FE:03:9C:47, -51, 4, 39
Bluefruit Item, 300492, C6:51:BC:E4:0A:4F, -46, 4, 39
Bluefruit Item, 300498, C6:0D:29:0E:D8:44, -58, 4, 39
Bluefruit Item, 300511, CD:2C:DF:8F:F4:41, -64, 4, 39
Bluefruit Item, 300567, EA:D2:1B:15:A3:45, -49, 4, 37
Bluefruit Item, 300572, EA:93:A1:6D:AE:49, -62, 4, 37
Bluefruit Item, 300583, C6:51:BC:E4:0A:4F, -45, 4, 37
Bluefruit Item, 300586, D1:83:FE:03:9C:47, -50, 4, 37
Bluefruit Item, 300589, EF:F3:F2:34:B9:4F, -54, 4, 37
Bluefruit Item, 300592, CD:2C:DF:8F:F4:41, -64, 4, 37
Bluefruit Item, 300593, EA:D2:1B:15:A3:45, -47, 4, 37
Bluefruit Item, 300596, EA:93:A1:6D:AE:49, -62, 4, 37
Bluefruit Item, 300597, E9:70:AB:45:DF:44, -60, 4, 37
Bluefruit Item, 300608, D1:83:FE:03:9C:47, -49, 4, 37
Bluefruit Item, 300617, EF:F3:F2:34:B9:4F, -54, 4, 37
Bluefruit Item, 300667, EA:D2:1B:15:A3:45, -45, 4, 38
Bluefruit Item, 300682, EF:F3:F2:34:B9:4F, -49, 4, 38
Bluefruit Item, 300688, EA:93:A1:6D:AE:49, -52, 4, 38
Bluefruit Item, 300692, EA:D2:1B:15:A3:45, -47, 4, 38
Bluefruit Item, 300694, CD:2C:DF:8F:F4:41, -60, 4, 38
Bluefruit Item, 300707, EF:F3:F2:34:B9:4F, -48, 4, 38
